english,Word,label
0,cricket,en
1,chal,hi
2,raha,hi
3,hain,hi
4,yaha,hi
5,i,en
6,liked,en
7,a,en
8,youtube,en
9,video,en
10,kabhi,hi
11,palkon,hi
12,pe,hi
13,aasoon,hi
14,hai,hi
15,kishore,hi
16,kumar,hi
17,vocal,en
18,cover,en
19,by,en
20,stephen,en
21,ab,hi
22,yeh,hi
23,kon,hi
24,bol,hi
25,raha,hi
26,hai,hi
27,aaj,hi
28,pe,hi
29,aap,hi
30,wale,hi
31,me,hi
32,wifi,hi
33,ke,hi
34,sath,hi
35,min,en
36,weed,en
37,bhi,hi
38,free,en
39,de,hi
40,rahe,hi
41,hai,hi
42,rt,en
43,gurmeetramrahim,en
44,msgdedicatesawardtoguruji,en
45,papa,en
46,yepieee,en
47,congratulations,en
48,and,en
49,celebrations,en
50,vaidehisachin,hi
51,log,hi
52,baat,hi
53,samjhane,hi
54,ke,hi
55,liye,hi
56,ek,hi
57,sher,hi
58,padhte,hi
59,hai,hi
60,modiji,hi
61,puri,hi
62,gazal,hi
63,padh,hi
64,gaye,hi
65,celebrations,en
66,at,en
67,my,en
68,native,en
69,place,en
70,pomendi,en
71,along,en
72,with,en
73,kalpesh,hi
74,salvi,hi
75,gurmeetramrahim,en
76,dhan,hi
77,dhan,hi
78,satguru,hi
79,tera,hi
80,hi,hi
81,aasra,hi
82,msgloveshumanity,en
83,salute,en
84,msg,en
85,railbudget,en
86,hope,en
87,it,en
88,is,en
89,for,en
90,d,en
91,development,en
92,and,en
93,for,en
94,aam,hi
95,aadmi,hi
96,prabhu,hi
97,ki,hi
98,kripa,hi
99,emraanhashmi,hi
100,today,en
101,is,en
102,kya,hi
103,padta,hi
104,hai,hi
105,will,en
106,modi,en
107,and,en
108,manohar,hi
109,apologize,en
110,to,en
111,nation,en
112,for,en
113,fake,en
114,rt,en
115,rameshchahal,hi
116,gurmeetramrahim,en
117,msgincronthday,en
118,superb,en
119,guru,hi
120,pa,hi
121,baap,hi
122,re,hi
123,baap,hi
124,free,en
125,khor,hi
126,ho,hi
127,saare,hi
128,ke,hi
129,saare,hi
130,mehnat,hi
131,se,hi
132,kuch,hi
133,mat,hi
134,karna,hi
135,tune,hi
136,bola,hi
137,to,hi
138,samajh,hi
139,ho,hi
140,gaya,hi
141,sandy,en
142,bhai,hi
143,raat,hi
144,bahut,hi
145,go,hi
146,gayee,hi
147,ja,hi
148,so,hi
149,ja,hi
150,nahi,hi
151,to,hi
152,bavalapanti,hi
153,karta,hi
154,rahega,hi
155,coolfunnytshirt,en
156,k,hi
157,baad,hi
158,audience,en
159,ko,hi
160,bhi,hi
161,ball,hi
162,dikhayi,hi
163,nahi,hi
164,di,hi
165,hogi,hi
166,aymond,en
167,version,en
168,via,en
169,sharethis,en
170,rt,en
171,mailtosamip,en
172,not,en
173,sure,en
174,whats,en
175,more,en
176,challenging,en
177,listening,en
178,speech,en
179,or,en
180,hearing,en
181,angel,en
182,scamqueenonroad,en
183,gurmeetramrahim,en
184,woww,en
185,great,en
186,papa,en
187,ji,hi
188,rt,en
189,adi,hi
190,amazing,en
191,shatakam,hi
192,south,en
193,style,en
194,dear,en
195,all,en
196,aap,hi
197,sabhi,hi
198,ko,hi
199,ki,hi
200,hardik,hi
201,shubhkaamnaye,hi
202,thanks,en
203,kumarpresident,en
204,helpline,en
205,srkscombatant,en
206,srksaroz,en
207,srkswarrior,en
208,acha,hi
209,kahan,hi
210,chaligeyi,hi
211,he,hi
212,fir,hi
213,wo,hi
214,arvindkejriwal,en
215,totaly,en
216,chutiyapa,en
217,suru,en
218,kar,hi
219,diya,hi
220,yadi,hi
221,tu,hi
222,sahi,hi
223,hai,hi
224,public,en
225,waise,hi
226,hi,hi
227,jita,hi
228,degi,hi
229,ye,hi
230,sab,hi
231,nutanki,hi
232,mat,hi
233,kar,hi
234,meetvibe,en
235,itna,hi
236,sab,hi
237,post,en
238,kiya,hi
239,aur,hi
240,aapko,hi
241,sirf,hi
242,dimaag,hi
243,hi,hi
244,chahiye,hi
245,rt,en
246,kailashkher,hi
247,to,en
248,all,en
249,kashir,hi
250,herath,en
251,happy,en
252,mahashivratri,en
253,to,en
254,all,en
255,shiv,hi
256,shashwat,hi
257,hain,hi
258,sthir,en
259,hain,hi
260,shantsalone,hi
261,hai,hi
262,utpatti,en
263,ke,hi
264,tu,hi
265,ho,hi
266,gyi,hi
267,permanent,en
268,kisi,hi
269,or,hi
270,ki,hi
271,tujhe,hi
272,chahne,hi
273,wale,hi
274,abi,hi
275,contractual,en
276,hai,hi
277,purely,en
278,contractual,en
279,audi,hi
280,for,en
281,rs,en
282,what,en
283,lakh,hi
284,chennai,hi
285,after,en
286,flood,en
287,is,en
288,car,en
289,lovers,en
290,paradise,en
291,its,en
292,a,en
293,line,en
294,of,en
295,growth,en
296,aap,hi
297,jaisa,hi
298,talentd,hi
299,banda,hi
300,jiske,hi
301,pass,hi
302,hoga,hi
303,woh,hi
304,top,en
305,kya,hi
306,top,en
307,pe,hi
308,pahunch,hi
309,jayega,hi
310,aap,hi
311,ak,hi
312,ko,hi
313,bhejke,hi
314,khud,hi
315,ke,hi
316,dear,en
317,ek,hi
318,baar,hi
319,phir,hi
320,bol,hi
321,do,hi
322,rt,en
323,dainikbhaskar,hi
324,aapki,hi
325,acchi,hi
326,zidd,hi
327,kya,hi
328,hai,hi
329,rt,en
330,mukulkmishra,en
331,tumhi,hi
332,log,hi
333,bole,hi
334,ki,hi
335,campus,en
336,se,hi
337,police,en
338,hata,hi
339,lo,hi
340,kaam,hi
341,km,hi
342,krte,hi
343,h,hi
344,or,hi
345,dhapli,hi
346,jyada,hi
347,bjate,hi
348,h,hi
349,baaki,hi
350,log,hi
351,shanti,hi
352,se,hi
353,apna,hi
354,kaam,hi
355,kr,hi
356,jate,hi
357,h,hi
358,gharwapsi,hi
359,rt,en
360,bdnewsorg,en
361,eight,en
362,militants,en
363,from,en
364,surrender,en
365,in,en
366,tripura,en
367,business,en
368,newsxeight,en
369,milit,en
370,rt,en
371,glossary,en
372,of,en
373,budgetary,en
374,terms,en
375,rt,en
376,wish,en
377,u,en
378,happy,en
379,mahashivrathiri,en
380,to,en
381,all,en
382,sunday,en
383,last,en
384,night,en
385,arpan,hi
386,rt,en
387,k,hi
388,pavan,hi
389,parv,hi
390,pr,hi
391,param,hi
392,sant,en
393,shree,en
394,asaram,en
395,ji,hi
396,ke,hi
397,shree,hi
398,charano,hi
399,me,hi
400,mera,hi
401,koti,hi
402,koti,hi
403,railbudget,en
404,higher,en
405,expectations,en
406,dikaho,hi
407,ache,hi
408,din,hi
409,rt,en
410,has,en
411,recently,en
412,allowed,en
413,up,en
414,to,hi
415,via,en
416,the,en
417,automatic,en
418,route,en
419,for,en
420,medical,en
421,devices,en
422,pharmaceuticals,en
423,http,en
424,train,en
425,express,en
426,celebtrains,en
427,railbudget,en
428,padhaai,hi
429,hi,hi
430,nahi,hi
431,ho,hi
432,paati,hi
433,exam,en
434,ke,hi
435,time,en
436,major,en
437,reason,en
438,twitter,en
439,htt,en
440,taurus,hi
441,sarahzaki,hi
442,bachon,hi
443,aj,hi
444,he,en
445,somwar,en
446,karne,hi
447,se,hi
448,acha,hi
449,pati,hi
450,milta,hi
451,hai,hi
452,ye,hi
453,suwami,hi
454,g,hi
455,kehte,hi
456,hen,hi
457,muft,en
458,ki,hi
459,advice,en
460,di,hi
461,he,hi
462,rt,en
463,live,en
464,shortly,en
465,minister,en
466,shri,hi
467,presenting,en
468,railbudget,en
469,at,en
470,behenchod,en
471,twitter,en
472,celeb,en
473,shikar,hi
474,dhawan,hi
475,ko,hi
476,replace,en
477,karna,hi
478,chahte,hi
479,the,hi
480,na,hi
481,imtiyazazhar,hi
482,kashmiri,hi
483,citizens,en
484,are,en
485,misled,en
486,by,en
487,the,en
488,propaganda,en
489,spread,en
490,by,en
491,the,en
492,antiindia,en
493,forces,en
494,in,en
495,and,en
496,outside,en
497,kashmir,hi
498,ji,hi
499,will,en
500,come,en
501,to,hi
502,directly,en
503,with,en
504,french,en
505,president,en
506,on,en
507,republic,en
508,day,en
509,out,en
510,of,en
511,the,en
512,hasina,hi
513,biopic,en
514,rt,en
515,na,hi
516,na,hi
517,kar,hi
518,yeh,hi
519,sab,hi
520,afridi,en
521,riyasobti,hi
522,hein,hi
523,kuch,hi
524,vii,hi
525,but,en
526,acha,hi
527,haii,hi
528,rt,en
529,mosessapir,en
530,amitabh,hi
531,ji,hi
532,replace,hi
533,yash,hi
534,chopra,hi
535,ji,hi
536,during,en
537,a,en
538,shoot,en
539,for,en
540,rt,en
541,nickhunterr,en
542,the,en
543,speed,en
544,of,en
545,is,en
546,faster,en
547,than,en
548,he,hi
549,prabhu,hi
550,ye,hi
551,kaisa,hi
552,hoga,hi
553,hey,en
554,ye,hi
555,kaise,hi
556,hoga,hi
557,naya,hi
558,shivaala,hi
559,mere,hi
560,lalitvijay,en
561,aayenge,hi
562,rt,en
563,navbharattimes,en
564,neeerajbadhwar,hi
565,marines,en
566,mercilessly,en
567,killed,en
568,our,en
569,fishermen,en
570,if,en
571,madam,en
572,is,en
573,so,en
574,patriotic,en
575,can,en
576,she,en
577,feelng,en
578,hawa,hi
579,hawai,hi
580,aftr,en
581,two,en
582,packs,en
